"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote",
"BRE^D","BRE Properties, Inc.","22.94","68820000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BRE^D&selected=BRE^D",
"BRFS","BRF-Brasil Foods S.A.","13.15","931927350","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BRFS&selected=BRFS",
"BPI","Bridgepoint Education","21.84","1192267440","1987","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BPI&selected=BPI",
"BGG","Briggs & Stratton Corporation","20.88","1045252800","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BGG&selected=BGG",
"EAT","Brinker International, Inc.","17.7","1815648300","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EAT&selected=EAT",
"BCO","Brink's Company (The)","22.29","1067646420","n/a","Transportation","Oil Refining/Marketing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BCO&selected=BCO",
"BMY","Bristol-Myers Squibb Company","23","39445000000","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BMY&selected=BMY",
"BMY^","Bristol-Myers Squibb Company","400","2400000","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BMY^&selected=BMY^",
"BRS","Bristow Group Inc","32.05","1151877000","1997","Transportation","Transportation Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BRS&selected=BRS",
"BR","Broadridge Financial Solutions, LLC","18.81","2561658660","1988","Finance","Finance: Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BR&selected=BR",
"BKD","Brookdale Senior Living Inc.","17.41","2078196880","2005","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BKD&selected=BKD",
"BAM","Brookfield Asset Management Inc","24.34","13941538220","n/a","Consumer Services","Building operators","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BAM&selected=BAM",
"BHS","Brookfield Homes Corp","10.03","285092720","n/a","Basic Industries","Homebuilding","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BHS&selected=BHS",
"BIP","Brookfield Infrastructure Partners LP","15.73","353704780","1985","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BIP&selected=BIP",
"BPO","Brookfield Properties Corporation","14.84","7432005560","n/a","Consumer Services","Building operators","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BPO&selected=BPO",
"BRO","Brown & Brown, Inc.","19.58","2783297000","n/a","Finance","Specialty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BRO&selected=BRO",
"BF/A","Brown Forman Corporation","57.85","3274367850","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BF/A&selected=BF/A",
"BF/B","Brown Forman Corporation","56.98","5144382320","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BF/B&selected=BF/B",
"BWS","Brown Shoe Company, Inc.","16.15","701249150","n/a","Consumer Non-Durables","Shoe Manufacturing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BWS&selected=BWS",
"BRT","BRT Realty Trust","5.7601","81286531.2","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BRT&selected=BRT",
"BC","Brunswick Corporation","17.03","1507631840","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BC&selected=BC",
"BW","Brush Engineered Materials Inc.","24.77","502286060","n/a","Capital Goods","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BW&selected=BW",
"BT","BT Group plc","19.36","258901280","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BT&selected=BT",
"BGH","Buckeye GP Holdings LP","30.14","837108360","2006","Energy","Natural Gas Distribution","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BGH&selected=BGH",
"BPL","Buckeye Partners L.P.","56.73","2921651730","1986","Energy","Natural Gas Distribution","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BPL&selected=BPL",
"BKI","Buckeye Technologies, Inc.","11.74","460689340","1973","Basic Industries","Paper","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BKI&selected=BKI",
"BKE","Buckle, Inc. (The)","35.88","1674124920","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BKE&selected=BKE",
"BBW","Build-A-Bear Workshop, Inc.","8.05","164872050","2004","Consumer Services","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BBW&selected=BBW",
"BG","Bunge Limited","49.15","7085218250","2001","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BG&selected=BG",
"BKC","Burger King Holdings, Inc.","19.74","2678520600","2006","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BKC&selected=BKC",
"BWY","Bway Holding Company","19.97","447627550","2007","Consumer Durables","Containers/Packaging","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BWY&selected=BWY",
"CHP","C&D Technologies, Inc.","0.9","23826600","1987","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHP&selected=CHP",
"BCR","C.R. Bard, Inc.","81.39","7739944830","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BCR&selected=BCR",
"GYB","CABCO Series 2004-101 Trust","17","0","n/a","Finance","Finance: Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GYB&selected=GYB",
"PFH","Cabco Tr Jcp 7.625","23.53","0","n/a","Finance","Finance: Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PFH&selected=PFH",
"CAB","Cabela's Inc","16.47","1114821360","1994","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAB&selected=CAB",
"CVC","Cablevision Systems Corporation","25.08","6304836120","1986","Consumer Services","Television Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVC&selected=CVC",
"CBT","Cabot Corporation","27.63","1806090210","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBT&selected=CBT",
"COG","Cabot Oil & Gas Corporation","35.32","3670101200","1990","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=COG&selected=COG",
"CACI","CACI International, Inc.","45.96","1389646560","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CACI&selected=CACI",
"CAE","CAE Inc","9.05","2319089650","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAE&selected=CAE",
"CAP","Cai International, Inc.","14.41","258183970","2007","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAP&selected=CAP",
"DVR","Cal Dive International, Inc.","5.04","474762960","2006","Energy","Oilfield Services/Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DVR&selected=DVR",
"CHY","Calamos Convertible and High Income Fund","11.63","805691510","1991","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHY&selected=CHY",
"CHI","Calamos Convertible Opportunities and Income Fund","11.79","620248320","2002","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHI&selected=CHI",
"CHW","Calamos Global Dynamic Income Fund","7.11","419539770","1986","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHW&selected=CHW",
"CGO","Calamos Global Total Return Fund","13.26","106172820","2005","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CGO&selected=CGO",
"CSQ","Calamos Strategic Total Return Fund","8.21","1268559940","2004","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CSQ&selected=CSQ",
"CCC","Calgon Carbon Corporation","14.78","830207380","1986","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CCC&selected=CCC",
"CWT","California Water  Service Group Holding","35.71","742910840","n/a","Public Utilities","Water Supply","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CWT&selected=CWT",
"CALX","Calix, Inc","12.04","449561560","2010","Consumer Services","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CALX&selected=CALX",
"ELY","Callaway Golf Company","8.3","534445300","1992","Consumer Non-Durables","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ELY&selected=ELY",
"CPE","Callon Petroleum Company","5.45","156752900","1987","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPE&selected=CPE",
"CPN","Calpine Corporation","13.41","5957191350","1996","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPN&selected=CPN",
"CBM","Cambrex Corporation","4.15","121731950","1987","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBM&selected=CBM",
"CPT","Camden Property Trust","45.76","3013250240","1993","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPT&selected=CPT",
"CCJ","Cameco Corporation","24.12","9475276680","1996","Basic Industries","Precious Metals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CCJ&selected=CCJ",
"CAM","Cameron International Corporation","34.28","8371210280","1993","Energy","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAM&selected=CAM",
"CPB","Campbell Soup Company","36.42","12392524140","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPB&selected=CPB",
"CM","Canadian Imperial Bank of Commerce","69.71","26767524640","n/a","Finance","Commercial Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CM&selected=CM",
"CNI","Canadian National Railway Company","58.9","27741016500","n/a","Transportation","Railroads","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNI&selected=CNI",
"CNQ","Canadian Natural Resources Limited","35.4","38396751600","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNQ&selected=CNQ",
"CP","Canadian Pacific Railway Limited","55.85","9409049500","n/a","Transportation","Railroads","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CP&selected=CP",
"CAJ","Canon, Inc.","41.45","2012065900","n/a","Miscellaneous","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAJ&selected=CAJ",
"CMN","Cantel Medical Corp.","16.62","279648120","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMN&selected=CMN",
"COF","Capital One Financial Corporation","41.75","19060336250","1994","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=COF&selected=COF",
"COF/WS","Capital One Financial Corporation","16.66","0","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=COF/WS&selected=COF/WS",
"COF^B","Capital One Financial Corporation","24.35","292200000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=COF^B&selected=COF^B",
"CSU","Capital Senior Living Corporation","5.19","140275320","1997","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CSU&selected=CSU",
"CT","Capital Trust, Inc.","1.88","41173880","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CT&selected=CT",
"CSE","CapitalSource Inc","4.56","1471106160","1972","Finance","Diversified Financial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CSE&selected=CSE",
"CBC","Capitol Bancorp Ltd.","1.84","39425680","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBC&selected=CBC",
"CBC^A","Capitol Bancorp Ltd.","2.54","6426200","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBC^A&selected=CBC^A",
"CBC^B","Capitol Bancorp Ltd.","2.55","8542500","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBC^B&selected=CBC^B",
"LSE","Caplease Funding Inc","5.19","296790150","2004","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=LSE&selected=LSE",
"LSE^A","Caplease Funding Inc","23.61","33054000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=LSE^A&selected=LSE^A",
"CMO","Capstead Mortgage Corporation","11.43","801425880","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMO&selected=CMO",
"CMO^A","Capstead Mortgage Corporation","21.78","4247100","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMO^A&selected=CMO^A",
"CMO^B","Capstead Mortgage Corporation","14.19","224471610","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMO^B&selected=CMO^B",
"CRR","Carbo Ceramics, Inc.","68.35","1580593750","1987","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRR&selected=CRR",
"CAH","Cardinal Health, Inc.","35","12672520000","n/a","Health Care","Other Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAH&selected=CAH",
"CRE","Care Investment Trust Inc.","8.63","174584900","1993","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRE&selected=CRE",
"CFN","CareFusion Corporation","25.9","5757673600","1996","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CFN&selected=CFN",
"CSL","Carlisle Companies Incorporated","39.78","2421010800","n/a","Basic Industries","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CSL&selected=CSL",
"KMX","CarMax Inc","21.88","4882018760","1997","Consumer Durables","Automotive Aftermarket","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=KMX&selected=KMX",
"CCL","Carnival Corporation","37.04","22907017600","1987","Consumer Services","Marine Transportation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CCL&selected=CCL",
"CUK","Carnival Plc ADS","39.02","99774140","n/a","Consumer Services","Marine Transportation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CUK&selected=CUK",
"CRS","Carpenter Technology Corporation","38.51","1693592780","n/a","Basic Industries","Steel/Iron Ore","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRS&selected=CRS",
"CSV","Carriage Services, Inc.","4.72","82453680","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CSV&selected=CSV",
"CRI","Carter's, Inc.","30.25","1797001250","2003","Consumer Non-Durables","Apparel","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRI&selected=CRI",
"CASC","Cascade Corporation","33.88","368851560","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CASC&selected=CASC",
"HOO","Cascal N.V.","6.74","206048540","1992","Public Utilities","Water Supply","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=HOO&selected=HOO",
"CSH","Cash America International, Inc.","36.69","1083932670","n/a","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CSH&selected=CSH",
"CAS","Castle (A.M.) & Co.","14.51","332830380","n/a","Basic Industries","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAS&selected=CAS",
"CAT","Caterpillar, Inc.","60.86","38231339100","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CAT&selected=CAT",
"CATO","Cato Corporation (The)","24.01","668558450","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CATO&selected=CATO",
"CBG","CB Richard Ellis Group Inc","15.77","5074391750","2004","Finance","Real Estate","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBG&selected=CBG",
"CBZ","CBIZ, Inc.","6.58","410835460","n/a","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBZ&selected=CBZ",
"CBL","CBL & Associates Properties, Inc.","14.34","1979809080","1993","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBL&selected=CBL",
"CBL^C","CBL & Associates Properties, Inc.","21.93","10087800","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBL^C&selected=CBL^C",
"CBL^D","CBL & Associates Properties, Inc.","20.9","27797000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBL^D&selected=CBL^D",
"CBS","CBS Corporation","14.63","9196461890","n/a","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBS&selected=CBS",
"CBS/A","CBS Corporation","14.59","749342400","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBS/A&selected=CBS/A",
"CPV","CBS Corporation","23.25","651000000","1998","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPV&selected=CPV",
"RBV","CBS Corporation","24.56","319280000","n/a","Consumer Services","Broadcasting","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=RBV&selected=RBV",
"CDI","CDI Corporation","15.63","297063780","n/a","Technology","Professional Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CDI&selected=CDI",
"CEC","CEC Entertainment, Inc.","39.52","868372960","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEC&selected=CEC",
"FUN","Cedar Fair, L.P.","12.63","698742120","1987","Consumer Services","Services-Misc. Amusement & Recreation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUN&selected=FUN",
"CDR","Cedar Shopping Centers Inc","6.52","422202600","n/a","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CDR&selected=CDR",
"CDR^A","Cedar Shopping Centers Inc","24.15","85732500","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CDR^A&selected=CDR^A",
"CGI","Celadon Group, Inc.","13.59","302526990","n/a","Transportation","Trucking Freight/Courier Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CGI&selected=CGI",
"CE","Celanese Corporation","28.67","4491843580","1984","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CE&selected=CE",
"CLS","Celestica, Inc.","9.15","1926660600","1998","Technology","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CLS&selected=CLS",
"CEL","Cellcom Israel, Ltd.","26.18","2589097280","1994","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEL&selected=CEL",
"CLU","Cellu Tissue Holdings, Inc","9.14","184125300","1984","Basic Industries","Paper","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CLU&selected=CLU",
"CX","Cemex S.A.B. de C.V.","10.88","6285843840","n/a","Capital Goods","Building Materials","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CX&selected=CX",
"CVE","Cenovus Energy Inc","28","21036652000","1985","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVE&selected=CVE",
"CNC","Centene Corporation","22.08","1137186240","n/a","Health Care","Medical Specialities","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNC&selected=CNC",
"CNP","CenterPoint Energy, Inc (Holding Co)","13.58","5356101380","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CNP&selected=CNP",
"EBR","Centrais Elc Braz Pfb B Elbras","12.59","836718810","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EBR&selected=EBR",
"EBR/B","Centrais Elc Braz Pfb B Elbras","14.77","483747040","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EBR/B&selected=EBR/B",
"CEE","Central Europe and Russia Fund, Inc. (The)","32.08","489637040","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEE&selected=CEE",
"CV","Central Vermont Pub Svc","20.22","242215380","n/a","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CV&selected=CV",
"CTL","CenturyLink, Inc.","34.97","10505162850","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CTL&selected=CTL",
"CVO","Cenveo Inc","7.1","441385700","n/a","Miscellaneous","Publishing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVO&selected=CVO",
"CF","CF Industries Holdings, Inc.","67.67","4808088840","2005","Basic Industries","Agricultural Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CF&selected=CF",
"GIB","CGI Group, Inc.","15.48","4003251840","n/a","Consumer Services","Professional Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=GIB&selected=GIB",
"CHG","CH Energy Group, Inc.","39.3","621450900","n/a","Public Utilities","Power Generation","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHG&selected=CHG",
"CRL","Charles River Laboratories International, Inc.","33.98","2249170180","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRL&selected=CRL",
"CWF","Chartwell Dividend and Income Fund, Inc.","3.7899","64072049.4","1998","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CWF&selected=CWF",
"CLDT","Chatham Lodging Trust (REIT)","18.08","0","2010","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CLDT&selected=CLDT",
"CKP","Checkpoint Systms, Inc.","19.1","754068000","n/a","Consumer Durables","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CKP&selected=CKP",
"CHE","Chemed Corp.","57.55","1308226600","1971","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHE&selected=CHE",
"CPC","Chemspec International Limited","7.12","56148320","1995","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPC&selected=CPC",
"CHK","Chesapeake Energy Corporation","23.32","15179291160","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHK&selected=CHK",
"CHK^D","Chesapeake Energy Corporation","80.47","277621500","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHK^D&selected=CHK^D",
"CHSP","Chesapeake Lodging Trust","17.45","163140050","2010","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHSP&selected=CHSP",
"CPK","Chesapeake Utilities Corporation","29.88","282605040","n/a","Public Utilities","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CPK&selected=CPK",
"CVX","Chevron Corporation","74.13","148900631460","n/a","Energy","Integrated oil Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CVX&selected=CVX",
"CBI","Chicago Bridge & Iron Company N.V.","19.24","1943990360","1997","Basic Industries","Engineering & Construction","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CBI&selected=CBI",
"CHS","Chico's FAS, Inc.","11.83","2114162960","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHS&selected=CHS",
"CIM","Chimera Investment Corporation","3.98","3057129540","1987","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CIM&selected=CIM",
"CO","China Cord Blood Corporation.","5.86","387832380","1993","Finance","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CO&selected=CO",
"STV","China Digital TV Holding Co., Ltd.","5.8","126260200","2007","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=STV&selected=STV",
"DL","China Distance Education Holdings Limited","4.27","39873260","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=DL&selected=DL",
"CEA","China Eastern Airlines Corporation Ltd.","42.03","37911060","1997","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEA&selected=CEA",
"CEU","China Education Alliance, Inc.","4.4","139282000","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CEU&selected=CEU",
"CHN","China Fund, Inc. (The)","26.09","594382380","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHN&selected=CHN",
"CGA","China Green Agriculture, Inc.","10.4","255548800","n/a","Basic Industries","Agricultural Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CGA&selected=CGA",
"CHC","China Hydroelectric Corporation","8.1","48600000","1990","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHC&selected=CHC",
"CHC/WS","China Hydroelectric Corporation","0.57","3420000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHC/WS&selected=CHC/WS",
"LFC","China Life Insurance Company Limited","65.82","1549534440","2003","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=LFC&selected=LFC",
"CMM","China Mass Media Corp","1.98","14281740","n/a","Technology","Advertising","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CMM&selected=CMM",
"CHL","China Mobile (Hong Kong) Ltd.","47.61","4078986750","1997","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CHL&selected=CHL",
"NPD","China Nepstar Chain Drugstore Ltd","3.5","94101000","2007","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NPD&selected=NPD",
